Week,Title,Lens,Essential Question,Theme,Standards
1,Fifth Grade Scholar Launch,Launch,"How do fifth-grade scholars manage learning, evidence, revision, and responsibility?","Baseline diagnostics, study systems, executive function, reading stamina, math fluency audit, inquiry notebooks, portfolio setup, and A++ expectations",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
2,Close Reading and Decimal Place Value,Precision,"How does precision improve reading, math, and thinking?","Quoting accurately, decimal place value to thousandths, powers of ten, note systems, map precision, and learning evidence",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
3,"Theme, Comparison, and Powers of Ten",Comparison,How do patterns help us compare ideas across texts and numbers?,"Theme comparison, characters/settings/events across texts, powers of ten, scale, and academic discussion",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
4,Narrative Craft and Multi-Digit Fluency,Craft,How do strong choices help a writer or mathematician communicate clearly?,"Narrative techniques, pacing, dialogue, sensory detail, multi-digit operations, and personal voice",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
5,Decimal Operations and Real-World Problems,Decimals,How do decimals help us describe value and solve real problems?,"Adding/subtracting/multiplying decimals, money contexts, estimation, and explanatory writing",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
6,Long Division and Remainder Decisions,Division,How do we decide what a remainder means in context?,"Division with two-digit divisors, interpreting remainders, procedural writing, estimation, and critique",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
7,Fractions with Unlike Denominators,Fraction Addition,How can unlike parts be made comparable?,"Equivalent fractions, adding/subtracting unlike denominators, fraction models, and precision language",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
8,Multiplying Fractions and Scaling,Fraction Multiplication,How can multiplication describe scaling and part-of-a-part thinking?,"Fraction multiplication, scaling, area models, measurement contexts, and model-based explanation",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
9,Dividing Fractions Foundations,Fraction Division,How can a model make fraction division understandable?,"Unit fractions divided by whole numbers, whole numbers divided by unit fractions, story models, and visual reasoning",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
10,Volume and Three-Dimensional Design,Volume,How does volume help designers solve space problems?,"Volume as cubic units, rectangular prisms, additive volume, nets, design constraints, and engineering records",KHAE-ELA-5; KHAE-MATH-5; KHAE-SCI-5; KHAE-SS-5; KHAE-ART-5; KHAE-PEH-5; KHAE-TECH-5; KHAE-IP-5; KHAE-PORT-5
