Week,Title,Lens,Essential Question,Theme,Standards
1,Fourth Grade Scholar Launch,Launch,How do independent scholars prove learning with evidence and revision?,"Baseline diagnostics, independent reading routines, math fluency audit, inquiry notebooks, executive function, portfolio setup, and A++ expectations",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
2,"Text Evidence, Place Value, and Learning Systems",Evidence,How do structure and evidence help us think with precision?,"Close reading, citing details, place value to millions, classroom systems, maps, and learning contracts",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
3,"Theme, Character, and Multi-Digit Addition/Subtraction",Theme,How do stories and strategies reveal change over time?,"Literary theme, character change, summaries, algorithm review, error analysis, and personal narrative craft",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
4,Multiplication Models and Informational Text Structure,Multiplication,"How do parts, patterns, and structure create meaning?","Area models, partial products, text structures, diagrams, main idea, and technical vocabulary",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
5,Multi-Digit Multiplication and Opinion Essays,Argument,How can strong reasons and accurate calculations support a claim?,"Multi-digit multiplication, claim/reasons/evidence, civic voice, survey data, and formal paragraphing",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
6,Division Foundations and Procedural Writing,Division,How do we explain a process so another person can follow it?,"Division as fair sharing/grouping, remainders, procedural writing, process diagrams, and critique",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
7,"Long Division, Estimation, and Problem Solving",Remainders,How do mathematicians decide what a remainder means?,"Partial quotients, estimation, remainders in context, multi-step word problems, and math writing",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
8,"Factors, Multiples, and Patterns in Nature",Patterns,"Where do patterns help us classify, predict, and create?","Factors, multiples, prime/composite, pattern rules, poetry rhythm, and science patterns",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
9,"Energy: Motion, Heat, Light, and Sound",Energy,"How does energy move, change, and cause effects?","Energy transfer, evidence tables, cause/effect text, measurement, and engineering safety",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
10,Waves and Information Transfer,Waves,How can waves carry information from one place to another?,"Waves, sound/light communication, model building, data displays, and explanatory writing",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
11,Morphology: Greek and Latin Roots,Morphology,How do word parts unlock complex ideas?,"Greek/Latin roots, affixes, domain vocabulary, word families, etymology notebook, and precise language",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
12,"Geography: Regions, Landforms, and Maps",Geography,How do maps help us explain where and why communities develop?,"Regions, landforms, map scale, latitude/longitude foundations, resources, and spatial reasoning",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
13,Fractions as Numbers and Equivalence,Fractions,How can different fractions name the same value?,"Unit fractions, equivalent fractions, number lines, visual models, fraction language, and precision",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
14,Comparing and Ordering Fractions,Fraction Comparison,How can we compare parts fairly and accurately?,"Benchmark fractions, common denominators, comparison strategies, data displays, and explanations",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
15,Adding and Subtracting Fractions,Fraction Operations,How do fraction operations help solve real problems?,"Like denominators, mixed numbers foundations, measurement fractions, and multi-step contexts",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
16,"Fractions, Measurement, and Design",Measurement Fractions,How do precise measurements improve a design?,"Line plots with fractions, recipe/math lab, measurement conversion foundations, and design constraints",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
17,Midyear Portfolio and Assessment,Midterm,How can I prove growth across every subject?,"Cumulative review, midterm, essay conference, math defense, subject evidence audit, and portfolio reflection",KHAE-ELA-4; KHAE-MATH-4; KHAE-SCI-4; KHAE-SS-4; KHAE-ART-4; KHAE-PEH-4; KHAE-TECH-4; KHAE-IP-4; KHAE-PORT-4
